,producto,categoria,cantidad,precio,fecha,total
64,Set de dinosaurios,Figuras,8.0,259.5,2026-08-18,2076.0
65,Muñeca princesa,Muñecas,5.0,349.9,2026-08-19,1749.5
66,Carrito de control remoto,Electronicos,4.0,699.9,2026-08-20,2799.6
67,Bloques de construccion,Construccion,13.0,219.9,2026-08-21,2858.7000000000003
68,Kit de pintura,Manualidades,7.0,189.0,2026-08-22,1323.0
69,Triciclo,Exterior,2.0,1499.9,2026-08-23,2999.8
70,Juego de memoria,Juegos,9.0,129.9,2026-08-24,1169.1000000000001
71,Robot interactivo,Electronicos,3.0,899.0,2026-08-25,2697.0
72,Set de cocina,Imitacion,6.0,329.5,2026-08-26,1977.0
73,Pelota de basquetbol,Deportes,10.0,249.9,2026-08-27,2499.0
74,Lego classic,Construccion,5.0,599.9,2026-08-28,2999.5
75,Muñeca bebe,Muñecas,8.0,279.0,2026-08-29,2232.0
76,Camion de bomberos,Autos,4.0,429.9,2026-08-30,1719.6
77,Peluche de unicornio,Peluches,7.0,319.5,2026-08-31,2236.5
78,Ajedrez,Juegos,3.0,299.9,2026-09-01,899.6999999999999
79,Patines,Deportes,5.0,749.0,2026-09-02,3745.0
80,Set de animales,Figuras,12.0,169.9,2026-09-03,2038.8000000000002
81,Dron infantil,Electronicos,2.0,1199.0,2026-09-04,2398.0
82,Casa de muñecas,Muñecas,1.0,1899.9,2026-09-05,1899.9
83,Lego ninjago,Construccion,6.0,649.5,2026-09-06,3897.0
84,Caja de plastilina,Manualidades,15.0,99.9,2026-09-07,1498.5
85,Tren de juguete,Construccion,4.0,529.9,2026-09-08,2119.6
86,Canasta infantil,Deportes,8.0,349.0,2026-09-09,2792.0
87,Superheroe marvel,Figuras,9.0,289.9,2026-09-10,2609.1
88,Juego de pesca,Juegos,6.0,179.5,2026-09-11,1077.0
89,Rompecabezas 1000 piezas,Juegos,3.0,299.9,2026-09-12,899.6999999999999
97,Lego friends,Construccion,-2.0,499.9,2026-09-20,-999.8
98,Muñeca frozen,Muñecas,999.0,299.9,2026-09-21,299600.1
